#WORD	NN	VB	JJ	RB	DT	IN	OT
lanes	1.000	0.000	0.000	0.000	0.000	0.000	0.000
languid	0.000	0.000	1.000	0.000	0.000	0.000	0.000
laotian	0.000	0.000	1.000	0.000	0.000	0.000	0.000
lapse	0.667	0.333	0.000	0.000	0.000	0.000	0.000
lard	1.000	0.000	0.000	0.000	0.000	0.000	0.000
las	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lash	0.333	0.667	0.000	0.000	0.000	0.000	0.000
latch	0.800	0.200	0.000	0.000	0.000	0.000	0.000
lauchli	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lavatory	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lavender	0.800	0.000	0.200	0.000	0.000	0.000	0.000
lawmakers	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lay-offs	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lay-sisters	1.000	0.000	0.000	0.000	0.000	0.000	0.000
ledge	1.000	0.000	0.000	0.000	0.000	0.000	0.000
ledoux	1.000	0.000	0.000	0.000	0.000	0.000	0.000
leering	0.000	1.000	0.000	0.000	0.000	0.000	0.000
leesona	1.000	0.000	0.000	0.000	0.000	0.000	0.000
leisurely	0.000	0.000	0.200	0.800	0.000	0.000	0.000
lends	0.000	1.000	0.000	0.000	0.000	0.000	0.000
leon	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lethargy	1.000	0.000	0.000	0.000	0.000	0.000	0.000
levitt	1.000	0.000	0.000	0.000	0.000	0.000	0.000
levy	0.571	0.429	0.000	0.000	0.000	0.000	0.000
lew	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lexicostatistics	1.000	0.000	0.000	0.000	0.000	0.000	0.000
liberally	0.000	0.000	0.000	1.000	0.000	0.000	0.000
liberate	0.000	1.000	0.000	0.000	0.000	0.000	0.000
lids	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lifters	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lightened	0.000	1.000	0.000	0.000	0.000	0.000	0.000
lightweight	0.200	0.000	0.800	0.000	0.000	0.000	0.000
lignite	1.000	0.000	0.000	0.000	0.000	0.000	0.000
limb	1.000	0.000	0.000	0.000	0.000	0.000	0.000
limousine	1.000	0.000	0.000	0.000	0.000	0.000	0.000
linearly	0.000	0.000	0.000	1.000	0.000	0.000	0.000
liner	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lions	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lisa	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lithe	0.000	0.000	1.000	0.000	0.000	0.000	0.000
littered	0.000	1.000	0.000	0.000	0.000	0.000	0.000
loaf	1.000	0.000	0.000	0.000	0.000	0.000	0.000
loaned	0.000	1.000	0.000	0.000	0.000	0.000	0.000
loathed	0.000	1.000	0.000	0.000	0.000	0.000	0.000
loathsome	0.000	0.000	1.000	0.000	0.000	0.000	0.000
locales	1.000	0.000	0.000	0.000	0.000	0.000	0.000
localities	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lodging	0.200	0.800	0.000	0.000	0.000	0.000	0.000
logging	0.200	0.800	0.000	0.000	0.000	0.000	0.000
logistics	1.000	0.000	0.000	0.000	0.000	0.000	0.000
long-time	1.000	0.000	0.000	0.000	0.000	0.000	0.000
loomis	1.000	0.000	0.000	0.000	0.000	0.000	0.000
loosened	0.000	1.000	0.000	0.000	0.000	0.000	0.000
lounging	0.000	1.000	0.000	0.000	0.000	0.000	0.000
love-making	1.000	0.000	0.000	0.000	0.000	0.000	0.000
loveliness	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lowering	0.200	0.800	0.000	0.000	0.000	0.000	0.000
lucid	0.000	0.000	1.000	0.000	0.000	0.000	0.000
lullaby	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lunged	0.000	1.000	0.000	0.000	0.000	0.000	0.000
lure	0.571	0.429	0.000	0.000	0.000	0.000	0.000
lust	1.000	0.000	0.000	0.000	0.000	0.000	0.000
luxemburg	1.000	0.000	0.000	0.000	0.000	0.000	0.000
lyford's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
m.a.	1.000	0.000	0.000	0.000	0.000	0.000	0.000
madly	0.000	0.000	0.000	1.000	0.000	0.000	0.000
madrigal	1.000	0.000	0.000	0.000	0.000	0.000	0.000
magician	1.000	0.000	0.000	0.000	0.000	0.000	0.000
magwitch's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mahler's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mailboxes	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mailing	0.667	0.333	0.000	0.000	0.000	0.000	0.000
major-league	1.000	0.000	0.000	0.000	0.000	0.000	0.000
makings	1.000	0.000	0.000	0.000	0.000	0.000	0.000
malformed	0.000	0.000	1.000	0.000	0.000	0.000	0.000
mammoth	0.000	0.000	1.000	0.000	0.000	0.000	0.000
manages	0.000	1.000	0.000	0.000	0.000	0.000	0.000
manas	1.000	0.000	0.000	0.000	0.000	0.000	0.000
maniac	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mankind's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
manning's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mansions	1.000	0.000	0.000	0.000	0.000	0.000	0.000
manslaughter	1.000	0.000	0.000	0.000	0.000	0.000	0.000
manuals	1.000	0.000	0.000	0.000	0.000	0.000	0.000
manufacturer's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
manuscripts	1.000	0.000	0.000	0.000	0.000	0.000	0.000
marine's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
maris's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
marketable	0.000	0.000	1.000	0.000	0.000	0.000	0.000
marlowe	1.000	0.000	0.000	0.000	0.000	0.000	0.000
marquis	1.000	0.000	0.000	0.000	0.000	0.000	0.000
marred	0.000	1.000	0.000	0.000	0.000	0.000	0.000
marsh	1.000	0.000	0.000	0.000	0.000	0.000	0.000
marshes	1.000	0.000	0.000	0.000	0.000	0.000	0.000
marx's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
masked	0.000	1.000	0.000	0.000	0.000	0.000	0.000
masonry	0.800	0.000	0.200	0.000	0.000	0.000	0.000
mated	0.000	1.000	0.000	0.000	0.000	0.000	0.000
math	1.000	0.000	0.000	0.000	0.000	0.000	0.000
maximizing	0.000	1.000	0.000	0.000	0.000	0.000	0.000
mcauliffe	1.000	0.000	0.000	0.000	0.000	0.000	0.000
md.	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mechanically	0.000	0.000	0.000	1.000	0.000	0.000	0.000
mechanization	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mecholyl	1.000	0.000	0.000	0.000	0.000	0.000	0.000
medals	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mediums	1.000	0.000	0.000	0.000	0.000	0.000	0.000
melies	1.000	0.000	0.000	0.000	0.000	0.000	0.000
melodious	0.000	0.000	1.000	0.000	0.000	0.000	0.000
melodramatic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
melt	0.000	1.000	0.000	0.000	0.000	0.000	0.000
melzi	1.000	0.000	0.000	0.000	0.000	0.000	0.000
menacing	0.000	1.000	0.000	0.000	0.000	0.000	0.000
mercifully	0.000	0.000	0.000	1.000	0.000	0.000	0.000
merged	0.000	1.000	0.000	0.000	0.000	0.000	0.000
merging	0.200	0.800	0.000	0.000	0.000	0.000	0.000
meteors	1.000	0.000	0.000	0.000	0.000	0.000	0.000
metered	0.000	1.000	0.000	0.000	0.000	0.000	0.000
methodical	0.000	0.000	1.000	0.000	0.000	0.000	0.000
meticulously	0.000	0.000	0.000	0.667	0.000	0.000	0.333
mickie	1.000	0.000	0.000	0.000	0.000	0.000	0.000
microphone	1.000	0.000	0.000	0.000	0.000	0.000	0.000
microphones	1.000	0.000	0.000	0.000	0.000	0.000	0.000
microseconds	1.000	0.000	0.000	0.000	0.000	0.000	0.000
middle-	0.000	0.000	1.000	0.000	0.000	0.000	0.000
midge	1.000	0.000	0.000	0.000	0.000	0.000	0.000
midway	0.500	0.000	0.000	0.375	0.000	0.000	0.125
midwestern	0.000	0.000	1.000	0.000	0.000	0.000	0.000
milestone	1.000	0.000	0.000	0.000	0.000	0.000	0.000
milieu	1.000	0.000	0.000	0.000	0.000	0.000	0.000
milstein	1.000	0.000	0.000	0.000	0.000	0.000	0.000
minarets	1.000	0.000	0.000	0.000	0.000	0.000	0.000
miners	1.000	0.000	0.000	0.000	0.000	0.000	0.000
minus	0.125	0.000	0.000	0.000	0.000	0.500	0.375
misconception	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mishap	1.000	0.000	0.000	0.000	0.000	0.000	0.000
miss.	1.000	0.000	0.000	0.000	0.000	0.000	0.000
missouri's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mistrust	1.000	0.000	0.000	0.000	0.000	0.000	0.000
misty	0.000	0.000	1.000	0.000	0.000	0.000	0.000
mixtures	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mobilized	0.000	1.000	0.000	0.000	0.000	0.000	0.000
mobs	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mocking	0.000	1.000	0.000	0.000	0.000	0.000	0.000
moderator	1.000	0.000	0.000	0.000	0.000	0.000	0.000
modesty	1.000	0.000	0.000	0.000	0.000	0.000	0.000
modification	1.000	0.000	0.000	0.000	0.000	0.000	0.000
modifying	0.000	1.000	0.000	0.000	0.000	0.000	0.000
modulation	1.000	0.000	0.000	0.000	0.000	0.000	0.000
moise	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mole	1.000	0.000	0.000	0.000	0.000	0.000	0.000
molly	1.000	0.000	0.000	0.000	0.000	0.000	0.000
monopolize	0.000	1.000	0.000	0.000	0.000	0.000	0.000
monte	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mopped	0.000	1.000	0.000	0.000	0.000	0.000	0.000
morocco	1.000	0.000	0.000	0.000	0.000	0.000	0.000
morrison	1.000	0.000	0.000	0.000	0.000	0.000	0.000
moscow's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
motto	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mountainside	1.000	0.000	0.000	0.000	0.000	0.000	0.000
movers	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mule	1.000	0.000	0.000	0.000	0.000	0.000	0.000
mulligan's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
murderous	0.000	0.000	1.000	0.000	0.000	0.000	0.000
murmuring	0.000	1.000	0.000	0.000	0.000	0.000	0.000
mused	0.000	1.000	0.000	0.000	0.000	0.000	0.000
musmanno	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nagrin	1.000	0.000	0.000	0.000	0.000	0.000	0.000
name's	0.000	1.000	0.000	0.000	0.000	0.000	0.000
nap	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nationals	1.000	0.000	0.000	0.000	0.000	0.000	0.000
naturalistic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
natures	1.000	0.000	0.000	0.000	0.000	0.000	0.000
navy's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
neal	1.000	0.000	0.000	0.000	0.000	0.000	0.000
negligence	1.000	0.000	0.000	0.000	0.000	0.000	0.000
negro's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
neitzbohr	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nemesis	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nested	0.000	1.000	0.000	0.000	0.000	0.000	0.000
neuroses	1.000	0.000	0.000	0.000	0.000	0.000	0.000
neutralist	0.500	0.000	0.500	0.000	0.000	0.000	0.000
newsletter	1.000	0.000	0.000	0.000	0.000	0.000	0.000
newsmen	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nightfall	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nikolais	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nobility	1.000	0.000	0.000	0.000	0.000	0.000	0.000
noisily	0.000	0.000	0.000	1.000	0.000	0.000	0.000
non-catholic	0.667	0.000	0.333	0.000	0.000	0.000	0.000
non-catholics	1.000	0.000	0.000	0.000	0.000	0.000	0.000
non-service-connected	0.000	0.000	1.000	0.000	0.000	0.000	0.000
non	0.000	0.000	0.125	0.375	0.000	0.000	0.500
nonfiction	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nonmetallic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
nordmann	1.000	0.000	0.000	0.000	0.000	0.000	0.000
normalcy	1.000	0.000	0.000	0.000	0.000	0.000	0.000
northeast	0.667	0.000	0.333	0.000	0.000	0.000	0.000
nothin'	0.000	0.000	0.000	0.000	0.000	0.000	1.000
notified	0.000	1.000	0.000	0.000	0.000	0.000	0.000
novelists	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nozzle	1.000	0.000	0.000	0.000	0.000	0.000	0.000
numb	0.000	0.000	1.000	0.000	0.000	0.000	0.000
nuns	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nurses	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nutmeg	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nw	1.000	0.000	0.000	0.000	0.000	0.000	0.000
nymphomaniac	1.000	0.000	0.000	0.000	0.000	0.000	0.000
obesity	1.000	0.000	0.000	0.000	0.000	0.000	0.000
obligated	0.000	1.000	0.000	0.000	0.000	0.000	0.000
observational	0.000	0.000	1.000	0.000	0.000	0.000	0.000
obsession	1.000	0.000	0.000	0.000	0.000	0.000	0.000
obstruct	0.000	1.000	0.000	0.000	0.000	0.000	0.000
obstructed	0.000	1.000	0.000	0.000	0.000	0.000	0.000
occluded	0.000	1.000	0.000	0.000	0.000	0.000	0.000
occupancy	1.000	0.000	0.000	0.000	0.000	0.000	0.000
occupant	1.000	0.000	0.000	0.000	0.000	0.000	0.000
occupies	0.000	1.000	0.000	0.000	0.000	0.000	0.000
offend	0.000	1.000	0.000	0.000	0.000	0.000	0.000
oilseeds	1.000	0.000	0.000	0.000	0.000	0.000	0.000
ok	0.000	0.000	0.200	0.800	0.000	0.000	0.000
old-time	0.000	0.000	1.000	0.000	0.000	0.000	0.000
olivetti	1.000	0.000	0.000	0.000	0.000	0.000	0.000
olympic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
one-fifth	1.000	0.000	0.000	0.000	0.000	0.000	0.000
onions	1.000	0.000	0.000	0.000	0.000	0.000	0.000
onrush	1.000	0.000	0.000	0.000	0.000	0.000	0.000
onslaught	1.000	0.000	0.000	0.000	0.000	0.000	0.000
oppressive	0.000	0.000	1.000	0.000	0.000	0.000	0.000
optional	0.000	0.000	1.000	0.000	0.000	0.000	0.000
oranges	1.000	0.000	0.000	0.000	0.000	0.000	0.000
orchestras	1.000	0.000	0.000	0.000	0.000	0.000	0.000
ordained	0.000	1.000	0.000	0.000	0.000	0.000	0.000
organification	1.000	0.000	0.000	0.000	0.000	0.000	0.000
orient	1.000	0.000	0.000	0.000	0.000	0.000	0.000
ornament	1.000	0.000	0.000	0.000	0.000	0.000	0.000
orville	1.000	0.000	0.000	0.000	0.000	0.000	0.000
osaka	1.000	0.000	0.000	0.000	0.000	0.000	0.000
oslo	1.000	0.000	0.000	0.000	0.000	0.000	0.000
outdoors	0.333	0.000	0.000	0.667	0.000	0.000	0.000
outgrow	0.000	1.000	0.000	0.000	0.000	0.000	0.000
outlawed	0.000	1.000	0.000	0.000	0.000	0.000	0.000
outmoded	0.000	0.000	1.000	0.000	0.000	0.000	0.000
outrun	0.000	1.000	0.000	0.000	0.000	0.000	0.000
outweighed	0.000	1.000	0.000	0.000	0.000	0.000	0.000
overgrown	0.000	1.000	0.000	0.000	0.000	0.000	0.000
overlap	0.000	1.000	0.000	0.000	0.000	0.000	0.000
overlook	0.000	1.000	0.000	0.000	0.000	0.000	0.000
overlooks	0.000	1.000	0.000	0.000	0.000	0.000	0.000
overpayment	1.000	0.000	0.000	0.000	0.000	0.000	0.000
oversimplified	0.000	1.000	0.000	0.000	0.000	0.000	0.000
overwhelmed	0.000	1.000	0.000	0.000	0.000	0.000	0.000
owing	0.000	1.000	0.000	0.000	0.000	0.000	0.000
oyabun	1.000	0.000	0.000	0.000	0.000	0.000	0.000
ozagen	1.000	0.000	0.000	0.000	0.000	0.000	0.000
p-20	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pa	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pacific	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pacing	0.429	0.571	0.000	0.000	0.000	0.000	0.000
padded	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pah	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pail	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pails	1.000	0.000	0.000	0.000	0.000	0.000	0.000
palaces	1.000	0.000	0.000	0.000	0.000	0.000	0.000
panorama	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pantheon	1.000	0.000	0.000	0.000	0.000	0.000	0.000
paralleled	0.000	1.000	0.000	0.000	0.000	0.000	0.000
parasites	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pardon	0.500	0.500	0.000	0.000	0.000	0.000	0.000
paredon	1.000	0.000	0.000	0.000	0.000	0.000	0.000
parenchyma	1.000	0.000	0.000	0.000	0.000	0.000	0.000
parliament	1.000	0.000	0.000	0.000	0.000	0.000	0.000
parody	1.000	0.000	0.000	0.000	0.000	0.000	0.000
participant	1.000	0.000	0.000	0.000	0.000	0.000	0.000
passageway	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pastime	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pastry	1.000	0.000	0.000	0.000	0.000	0.000	0.000
patron	1.000	0.000	0.000	0.000	0.000	0.000	0.000
patting	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pavilion	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pawtuxet	1.000	0.000	0.000	0.000	0.000	0.000	0.000
peacetime	1.000	0.000	0.000	0.000	0.000	0.000	0.000
peacocks	1.000	0.000	0.000	0.000	0.000	0.000	0.000
peck	0.800	0.200	0.000	0.000	0.000	0.000	0.000
peculiarities	1.000	0.000	0.000	0.000	0.000	0.000	0.000
peg	1.000	0.000	0.000	0.000	0.000	0.000	0.000
penalties	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pencils	1.000	0.000	0.000	0.000	0.000	0.000	0.000
penned	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pensacola	1.000	0.000	0.000	0.000	0.000	0.000	0.000
peralta	1.000	0.000	0.000	0.000	0.000	0.000	0.000
perched	0.000	1.000	0.000	0.000	0.000	0.000	0.000
performs	0.000	1.000	0.000	0.000	0.000	0.000	0.000
periodical	1.000	0.000	0.000	0.000	0.000	0.000	0.000
perpetuating	0.000	1.000	0.000	0.000	0.000	0.000	0.000
persia	1.000	0.000	0.000	0.000	0.000	0.000	0.000
person's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
persuading	0.200	0.800	0.000	0.000	0.000	0.000	0.000
persuasive	0.000	0.000	1.000	0.000	0.000	0.000	0.000
peru	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pervasive	0.000	0.000	1.000	0.000	0.000	0.000	0.000
pest	1.000	0.000	0.000	0.000	0.000	0.000	0.000
petals	1.000	0.000	0.000	0.000	0.000	0.000	0.000
peters	1.000	0.000	0.000	0.000	0.000	0.000	0.000
petersburg	1.000	0.000	0.000	0.000	0.000	0.000	0.000
petitioned	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pfaff	1.000	0.000	0.000	0.000	0.000	0.000	0.000
phenothiazine	1.000	0.000	0.000	0.000	0.000	0.000	0.000
philanthropic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
philippi	1.000	0.000	0.000	0.000	0.000	0.000	0.000
philippines	1.000	0.000	0.000	0.000	0.000	0.000	0.000
photographed	0.000	1.000	0.000	0.000	0.000	0.000	0.000
photographer	1.000	0.000	0.000	0.000	0.000	0.000	0.000
phouma	1.000	0.000	0.000	0.000	0.000	0.000	0.000
phyfe	1.000	0.000	0.000	0.000	0.000	0.000	0.000
physicist	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pianist's	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pictured	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pierced	0.000	1.000	0.000	0.000	0.000	0.000	0.000
piety	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pinch	0.667	0.333	0.000	0.000	0.000	0.000	0.000
pinned	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pipeline	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pirates	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pirouette	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pistols	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pitiful	0.000	0.000	1.000	0.000	0.000	0.000	0.000
pits	1.000	0.000	0.000	0.000	0.000	0.000	0.000
placid	0.000	0.000	1.000	0.000	0.000	0.000	0.000
plains	1.000	0.000	0.000	0.000	0.000	0.000	0.000
plaintiff	1.000	0.000	0.000	0.000	0.000	0.000	0.000
plaques	1.000	0.000	0.000	0.000	0.000	0.000	0.000
plasticity	1.000	0.000	0.000	0.000	0.000	0.000	0.000
platinum	1.000	0.000	0.000	0.000	0.000	0.000	0.000
platonism	1.000	0.000	0.000	0.000	0.000	0.000	0.000
plausible	0.000	0.000	1.000	0.000	0.000	0.000	0.000
plucked	0.000	1.000	0.000	0.000	0.000	0.000	0.000
plumb	0.200	0.000	0.000	0.000	0.000	0.000	0.800
plumber	1.000	0.000	0.000	0.000	0.000	0.000	0.000
plump	0.000	0.000	1.000	0.000	0.000	0.000	0.000
plumpness	1.000	0.000	0.000	0.000	0.000	0.000	0.000
plunge	0.800	0.200	0.000	0.000	0.000	0.000	0.000
poe	1.000	0.000	0.000	0.000	0.000	0.000	0.000
poisoned	0.000	1.000	0.000	0.000	0.000	0.000	0.000
poked	0.000	1.000	0.000	0.000	0.000	0.000	0.000
politic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
polyethylene	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pondered	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pons	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pop	0.667	0.333	0.000	0.000	0.000	0.000	0.000
populace	1.000	0.000	0.000	0.000	0.000	0.000	0.000
ports	1.000	0.000	0.000	0.000	0.000	0.000	0.000
portsmouth	1.000	0.000	0.000	0.000	0.000	0.000	0.000
portugal	1.000	0.000	0.000	0.000	0.000	0.000	0.000
postal	0.000	0.000	1.000	0.000	0.000	0.000	0.000
posters	1.000	0.000	0.000	0.000	0.000	0.000	0.000
potemkin	1.000	0.000	0.000	0.000	0.000	0.000	0.000
potentials	1.000	0.000	0.000	0.000	0.000	0.000	0.000
potter	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pounded	0.000	1.000	0.000	0.000	0.000	0.000	0.000
powerfully	0.000	0.000	0.000	1.000	0.000	0.000	0.000
pragmatic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
preclude	0.000	1.000	0.000	0.000	0.000	0.000	0.000
predisposition	1.000	0.000	0.000	0.000	0.000	0.000	0.000
preferential	0.000	0.000	1.000	0.000	0.000	0.000	0.000
pregnancy	1.000	0.000	0.000	0.000	0.000	0.000	0.000
prejudiced	0.000	1.000	0.000	0.000	0.000	0.000	0.000
prejudices	1.000	0.000	0.000	0.000	0.000	0.000	0.000
premieres	1.000	0.000	0.000	0.000	0.000	0.000	0.000
prepares	0.000	1.000	0.000	0.000	0.000	0.000	0.000
presumptuous	0.000	0.000	1.000	0.000	0.000	0.000	0.000
pretence	1.000	0.000	0.000	0.000	0.000	0.000	0.000
prettier	0.000	0.000	1.000	0.000	0.000	0.000	0.000
prettiest	0.000	0.000	1.000	0.000	0.000	0.000	0.000
prevalence	1.000	0.000	0.000	0.000	0.000	0.000	0.000
priced	0.000	1.000	0.000	0.000	0.000	0.000	0.000
principals	1.000	0.000	0.000	0.000	0.000	0.000	0.000
processor	1.000	0.000	0.000	0.000	0.000	0.000	0.000
proclaiming	0.000	1.000	0.000	0.000	0.000	0.000	0.000
proclaims	0.000	1.000	0.000	0.000	0.000	0.000	0.000
proctor	1.000	0.000	0.000	0.000	0.000	0.000	0.000
procure	0.000	1.000	0.000	0.000	0.000	0.000	0.000
procured	0.000	1.000	0.000	0.000	0.000	0.000	0.000
prodigious	0.000	0.000	1.000	0.000	0.000	0.000	0.000
profanity	1.000	0.000	0.000	0.000	0.000	0.000	0.000
profitably	0.000	0.000	0.000	1.000	0.000	0.000	0.000
prohibiting	0.000	1.000	0.000	0.000	0.000	0.000	0.000
prolusions	1.000	0.000	0.000	0.000	0.000	0.000	0.000
promoters	1.000	0.000	0.000	0.000	0.000	0.000	0.000
promotes	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pronoun	1.000	0.000	0.000	0.000	0.000	0.000	0.000
propagandistic	0.000	0.000	1.000	0.000	0.000	0.000	0.000
propagandists	1.000	0.000	0.000	0.000	0.000	0.000	0.000
propel	0.000	1.000	0.000	0.000	0.000	0.000	0.000
prophesied	0.000	1.000	0.000	0.000	0.000	0.000	0.000
prophet	1.000	0.000	0.000	0.000	0.000	0.000	0.000
prophets	1.000	0.000	0.000	0.000	0.000	0.000	0.000
proteases	1.000	0.000	0.000	0.000	0.000	0.000	0.000
protects	0.000	1.000	0.000	0.000	0.000	0.000	0.000
protruded	0.000	1.000	0.000	0.000	0.000	0.000	0.000
proverbial	0.000	0.000	1.000	0.000	0.000	0.000	0.000
provokes	0.000	1.000	0.000	0.000	0.000	0.000	0.000
psychiatrist	1.000	0.000	0.000	0.000	0.000	0.000	0.000
psychical	0.000	0.000	1.000	0.000	0.000	0.000	0.000
psychologically	0.000	0.000	0.000	1.000	0.000	0.000	0.000
psychotherapy	1.000	0.000	0.000	0.000	0.000	0.000	0.000
publishes	0.000	1.000	0.000	0.000	0.000	0.000	0.000
puffed	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pullen	1.000	0.000	0.000	0.000	0.000	0.000	0.000
pulpit	1.000	0.000	0.000	0.000	0.000	0.000	0.000
punch	0.800	0.200	0.000	0.000	0.000	0.000	0.000
punctuated	0.000	1.000	0.000	0.000	0.000	0.000	0.000
pungent	0.000	0.000	1.000	0.000	0.000	0.000	0.000
purchasers	1.000	0.000	0.000	0.000	0.000	0.000	0.000
purported	0.000	1.000	0.000	0.000	0.000	0.000	0.000
purvis	1.000	0.000	0.000	0.000	0.000	0.000	0.000
quakers	1.000	0.000	0.000	0.000	0.000	0.000	0.000
quantitatively	0.000	0.000	0.000	1.000	0.000	0.000	0.000
quarreled	0.000	1.000	0.000	0.000	0.000	0.000	0.000
quarterback	1.000	0.000	0.000	0.000	0.000	0.000	0.000
quarterly	0.000	0.000	0.800	0.200	0.000	0.000	0.000
quieter	0.000	0.000	1.000	0.000	0.000	0.000	0.000
quincy	1.000	0.000	0.000	0.000	0.000	0.000	0.000
quitting	0.000	1.000	0.000	0.000	0.000	0.000	0.000
quixote	1.000	0.000	0.000	0.000	0.000	0.000	0.000
quotation	1.000	0.000	0.000	0.000	0.000	0.000	0.000
quotes	0.000	1.000	0.000	0.000	0.000	0.000	0.000
race-drivers	1.000	0.000	0.000	0.000	0.000	0.000	0.000
radial	0.000	0.000	1.000	0.000	0.000	0.000	0.000
radiated	0.000	1.000	0.000	0.000	0.000	0.000	0.000
radiator	1.000	0.000	0.000	0.000	0.000	0.000	0.000
radic	1.000	0.000	0.000	0.000	0.000	0.000	0.000
radicalism	1.000	0.000	0.000	0.000	0.000	0.000	0.000
radicals	1.000	0.000	0.000	0.000	0.000	0.000	0.000
